Year,Commodity,Value_A$m,TradeType
2019,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",23372,Exports
2020,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",25492,Exports
2021,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",23281,Exports
2022,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",23514,Exports
2023,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",28352,Exports
2024,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",35703,Exports
2014,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,5807,Exports
2015,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,5963,Exports
2016,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,6043,Exports
2017,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,5749,Exports
2018,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,4651,Exports
2019,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,5188,Exports
2020,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,6551,Exports
2021,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,9283,Exports
2022,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,11921,Exports
2023,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,10257,Exports
2024,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,7534,Exports
2014,-1 TOTAL ;,265923,Exports
2015,-1 TOTAL ;,249613,Exports
2016,-1 TOTAL ;,258469,Exports
2017,-1 TOTAL ;,301334,Exports
2018,-1 TOTAL ;,344615,Exports
2019,-1 TOTAL ;,389981,Exports
2020,-1 TOTAL ;,362728,Exports
2021,-1 TOTAL ;,458168,Exports
2022,-1 TOTAL ;,593865,Exports
2023,-1 TOTAL ;,558623,Exports
2024,-1 TOTAL ;,517857,Exports
2014,0 Food and live animals ;,12141,Imports
2015,0 Food and live animals ;,13523,Imports
2016,0 Food and live animals ;,13977,Imports
2017,0 Food and live animals ;,14304,Imports
2018,0 Food and live animals ;,15132,Imports
2019,0 Food and live animals ;,16938,Imports
2020,0 Food and live animals ;,17607,Imports
2021,0 Food and live animals ;,16410,Imports
2022,0 Food and live animals ;,19518,Imports
2023,0 Food and live animals ;,19684,Imports
2024,0 Food and live animals ;,22309,Imports
2014,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",108,Imports
2015,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",99,Imports
2016,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",121,Imports
2017,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",155,Imports
2018,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",168,Imports
2019,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",145,Imports
2020,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",157,Imports
2021,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",156,Imports
2022,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",167,Imports
2023,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",212,Imports
2024,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",201,Imports
2014,01 Meat and meat preparations ;,727,Imports
2015,01 Meat and meat preparations ;,810,Imports
2016,01 Meat and meat preparations ;,780,Imports
2017,01 Meat and meat preparations ;,833,Imports
2018,01 Meat and meat preparations ;,822,Imports
2019,01 Meat and meat preparations ;,1029,Imports
2020,01 Meat and meat preparations ;,905,Imports
2021,01 Meat and meat preparations ;,966,Imports
2022,01 Meat and meat preparations ;,1070,Imports
2023,01 Meat and meat preparations ;,1035,Imports
2024,01 Meat and meat preparations ;,1252,Imports
2014,02 Dairy products and birds’ eggs ;,896,Imports
2015,02 Dairy products and birds’ eggs ;,955,Imports
2016,02 Dairy products and birds’ eggs ;,1075,Imports
2017,02 Dairy products and birds’ eggs ;,1321,Imports
2018,02 Dairy products and birds’ eggs ;,1420,Imports
2019,02 Dairy products and birds’ eggs ;,1477,Imports
2020,02 Dairy products and birds’ eggs ;,1589,Imports
2021,02 Dairy products and birds’ eggs ;,1438,Imports
2022,02 Dairy products and birds’ eggs ;,1809,Imports
2023,02 Dairy products and birds’ eggs ;,2034,Imports
2024,02 Dairy products and birds’ eggs ;,1935,Imports
2014,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1805,Imports
2015,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1772,Imports
2016,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1852,Imports
2017,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1950,Imports
2018,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",2013,Imports
2019,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",2034,Imports
2020,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1882,Imports
2021,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1874,Imports
2022,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",2449,Imports
2023,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",2230,Imports
2024,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",2416,Imports
2014,04 Cereals and cereal preparations ;,1131,Imports
2015,04 Cereals and cereal preparations ;,1271,Imports
2016,04 Cereals and cereal preparations ;,1265,Imports
2017,04 Cereals and cereal preparations ;,1309,Imports
2018,04 Cereals and cereal preparations ;,1479,Imports
2019,04 Cereals and cereal preparations ;,1916,Imports
2020,04 Cereals and cereal preparations ;,2088,Imports
2021,04 Cereals and cereal preparations ;,1727,Imports
2022,04 Cereals and cereal preparations ;,2011,Imports
2023,04 Cereals and cereal preparations ;,2136,Imports
2024,04 Cereals and cereal preparations ;,2527,Imports
2014,05 Vegetables and fruit ;,2260,Imports
2015,05 Vegetables and fruit ;,2535,Imports
2016,05 Vegetables and fruit ;,2601,Imports
2017,05 Vegetables and fruit ;,2684,Imports
2018,05 Vegetables and fruit ;,2647,Imports
2019,05 Vegetables and fruit ;,2806,Imports
2020,05 Vegetables and fruit ;,3107,Imports
2021,05 Vegetables and fruit ;,2837,Imports
2022,05 Vegetables and fruit ;,3163,Imports
2023,05 Vegetables and fruit ;,3366,Imports
2024,05 Vegetables and fruit ;,3913,Imports
2014,"06 Sugars, sugar preparations and honey ;",449,Imports
2015,"06 Sugars, sugar preparations and honey ;",513,Imports
2016,"06 Sugars, sugar preparations and honey ;",483,Imports
2017,"06 Sugars, sugar preparations and honey ;",460,Imports
2018,"06 Sugars, sugar preparations and honey ;",483,Imports
2019,"06 Sugars, sugar preparations and honey ;",485,Imports
2020,"06 Sugars, sugar preparations and honey ;",489,Imports
2021,"06 Sugars, sugar preparations and honey ;",491,Imports
2022,"06 Sugars, sugar preparations and honey ;",565,Imports
2023,"06 Sugars, sugar preparations and honey ;",611,Imports
2024,"06 Sugars, sugar preparations and honey ;",688,Imports
2014,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",1690,Imports
2015,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2051,Imports
2016,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",1975,Imports
2017,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2057,Imports
2018,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2031,Imports
2019,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2131,Imports
2020,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2208,Imports
2021,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2164,Imports
2022,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2566,Imports
2023,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",2582,Imports
2024,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",3250,Imports
2014,08 Feeding stuff for animals (excl. unmilled cereals) ;,805,Imports
2015,08 Feeding stuff for animals (excl. unmilled cereals) ;,857,Imports
2016,08 Feeding stuff for animals (excl. unmilled cereals) ;,919,Imports
2017,08 Feeding stuff for animals (excl. unmilled cereals) ;,939,Imports
2018,08 Feeding stuff for animals (excl. unmilled cereals) ;,1100,Imports
2019,08 Feeding stuff for animals (excl. unmilled cereals) ;,1238,Imports
2020,08 Feeding stuff for animals (excl. unmilled cereals) ;,1355,Imports
2021,08 Feeding stuff for animals (excl. unmilled cereals) ;,1220,Imports
2022,08 Feeding stuff for animals (excl. unmilled cereals) ;,1660,Imports
2023,08 Feeding stuff for animals (excl. unmilled cereals) ;,1438,Imports
2024,08 Feeding stuff for animals (excl. unmilled cereals) ;,1647,Imports
2014,09 Miscellaneous edible products and preparations ;,2265,Imports
2015,09 Miscellaneous edible products and preparations ;,2656,Imports
2016,09 Miscellaneous edible products and preparations ;,2908,Imports
2017,09 Miscellaneous edible products and preparations ;,2593,Imports
2018,09 Miscellaneous edible products and preparations ;,2970,Imports
2019,09 Miscellaneous edible products and preparations ;,3678,Imports
2020,09 Miscellaneous edible products and preparations ;,3824,Imports
2021,09 Miscellaneous edible products and preparations ;,3535,Imports
2022,09 Miscellaneous edible products and preparations ;,4063,Imports
2023,09 Miscellaneous edible products and preparations ;,4035,Imports
2024,09 Miscellaneous edible products and preparations ;,4481,Imports
2014,1 Beverages and tobacco ;,2732,Imports
2015,1 Beverages and tobacco ;,3205,Imports
2016,1 Beverages and tobacco ;,3271,Imports
2017,1 Beverages and tobacco ;,3285,Imports
2018,1 Beverages and tobacco ;,3541,Imports
2019,1 Beverages and tobacco ;,3798,Imports
2020,1 Beverages and tobacco ;,3475,Imports
2021,1 Beverages and tobacco ;,3449,Imports
2022,1 Beverages and tobacco ;,3850,Imports
2023,1 Beverages and tobacco ;,3518,Imports
2024,1 Beverages and tobacco ;,3349,Imports
2014,11 Beverages ;,2027,Imports
2015,11 Beverages ;,2244,Imports
2016,11 Beverages ;,2241,Imports
2017,11 Beverages ;,2280,Imports
2018,11 Beverages ;,2480,Imports
2019,11 Beverages ;,2688,Imports
2020,11 Beverages ;,2585,Imports
2021,11 Beverages ;,2744,Imports
2022,11 Beverages ;,3170,Imports
2023,11 Beverages ;,2928,Imports
2024,11 Beverages ;,2906,Imports
2014,12 Tobacco and tobacco manufactures ;,708,Imports
2015,12 Tobacco and tobacco manufactures ;,964,Imports
2016,12 Tobacco and tobacco manufactures ;,1027,Imports
2017,12 Tobacco and tobacco manufactures ;,1006,Imports
2018,12 Tobacco and tobacco manufactures ;,1063,Imports
2019,12 Tobacco and tobacco manufactures ;,1113,Imports
2020,12 Tobacco and tobacco manufactures ;,891,Imports
2021,12 Tobacco and tobacco manufactures ;,704,Imports
2022,12 Tobacco and tobacco manufactures ;,682,Imports
2023,12 Tobacco and tobacco manufactures ;,588,Imports
2024,12 Tobacco and tobacco manufactures ;,441,Imports
2014,"2 Crude materials, inedible, except fuels ;",2917,Imports
2015,"2 Crude materials, inedible, except fuels ;",3217,Imports
2016,"2 Crude materials, inedible, except fuels ;",3206,Imports
2017,"2 Crude materials, inedible, except fuels ;",3544,Imports
2018,"2 Crude materials, inedible, except fuels ;",3985,Imports
2019,"2 Crude materials, inedible, except fuels ;",3138,Imports
2020,"2 Crude materials, inedible, except fuels ;",3257,Imports
2021,"2 Crude materials, inedible, except fuels ;",4247,Imports
2022,"2 Crude materials, inedible, except fuels ;",4653,Imports
2023,"2 Crude materials, inedible, except fuels ;",3931,Imports
2024,"2 Crude materials, inedible, except fuels ;",4119,Imports
2014,"21 Hides, skins and furskins, raw ;",2,Imports
2015,"21 Hides, skins and furskins, raw ;",5,Imports
2016,"21 Hides, skins and furskins, raw ;",5,Imports
2017,"21 Hides, skins and furskins, raw ;",3,Imports
2018,"21 Hides, skins and furskins, raw ;",2,Imports
2019,"21 Hides, skins and furskins, raw ;",7,Imports
2020,"21 Hides, skins and furskins, raw ;",7,Imports
2021,"21 Hides, skins and furskins, raw ;",2,Imports
2022,"21 Hides, skins and furskins, raw ;",4,Imports
2023,"21 Hides, skins and furskins, raw ;",2,Imports
2024,"21 Hides, skins and furskins, raw ;",6,Imports
2014,22 Oil-seeds and oleaginous fruits ;,94,Imports
2015,22 Oil-seeds and oleaginous fruits ;,105,Imports
2016,22 Oil-seeds and oleaginous fruits ;,88,Imports
2017,22 Oil-seeds and oleaginous fruits ;,111,Imports
2018,22 Oil-seeds and oleaginous fruits ;,115,Imports
2019,22 Oil-seeds and oleaginous fruits ;,127,Imports
2020,22 Oil-seeds and oleaginous fruits ;,141,Imports
2021,22 Oil-seeds and oleaginous fruits ;,102,Imports
2022,22 Oil-seeds and oleaginous fruits ;,135,Imports
2023,22 Oil-seeds and oleaginous fruits ;,120,Imports
2024,22 Oil-seeds and oleaginous fruits ;,151,Imports
2014,23 Crude rubber (incl. synthetic and reclaimed) ;,112,Imports
2015,23 Crude rubber (incl. synthetic and reclaimed) ;,106,Imports
2016,23 Crude rubber (incl. synthetic and reclaimed) ;,102,Imports
2017,23 Crude rubber (incl. synthetic and reclaimed) ;,165,Imports
2018,23 Crude rubber (incl. synthetic and reclaimed) ;,160,Imports
2019,23 Crude rubber (incl. synthetic and reclaimed) ;,147,Imports
2020,23 Crude rubber (incl. synthetic and reclaimed) ;,122,Imports
2021,23 Crude rubber (incl. synthetic and reclaimed) ;,134,Imports
2022,23 Crude rubber (incl. synthetic and reclaimed) ;,148,Imports
2023,23 Crude rubber (incl. synthetic and reclaimed) ;,130,Imports
2024,23 Crude rubber (incl. synthetic and reclaimed) ;,141,Imports
2014,24 Cork and wood ;,800,Imports
2015,24 Cork and wood ;,881,Imports
2016,24 Cork and wood ;,816,Imports
2017,24 Cork and wood ;,836,Imports
2018,24 Cork and wood ;,1041,Imports
2019,24 Cork and wood ;,801,Imports
2020,24 Cork and wood ;,801,Imports
2021,24 Cork and wood ;,1051,Imports
2022,24 Cork and wood ;,1444,Imports
2023,24 Cork and wood ;,841,Imports
2024,24 Cork and wood ;,917,Imports
2014,25 Pulp and waste paper ;,215,Imports
2015,25 Pulp and waste paper ;,232,Imports
2016,25 Pulp and waste paper ;,212,Imports
2017,25 Pulp and waste paper ;,232,Imports
2018,25 Pulp and waste paper ;,284,Imports
2019,25 Pulp and waste paper ;,260,Imports
2020,25 Pulp and waste paper ;,240,Imports
2021,25 Pulp and waste paper ;,281,Imports
2022,25 Pulp and waste paper ;,365,Imports
2023,25 Pulp and waste paper ;,280,Imports
2024,25 Pulp and waste paper ;,276,Imports
2014,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",102,Imports
2015,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",106,Imports
2016,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",99,Imports
2017,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",91,Imports
2018,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",99,Imports
2019,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",98,Imports
2020,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",97,Imports
2021,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",115,Imports
2022,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",125,Imports
2023,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",119,Imports
2024,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",121,Imports
2014,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",335,Imports
2015,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",361,Imports
2016,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",311,Imports
2017,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",286,Imports
2018,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",316,Imports
2019,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",286,Imports
2020,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",298,Imports
2021,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",426,Imports
2022,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",604,Imports
2023,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",478,Imports
2024,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",362,Imports
2014,28 Metalliferous ores and metal scrap ;,758,Imports
2015,28 Metalliferous ores and metal scrap ;,837,Imports
2016,28 Metalliferous ores and metal scrap ;,1017,Imports
2017,28 Metalliferous ores and metal scrap ;,1221,Imports
2018,28 Metalliferous ores and metal scrap ;,1306,Imports
2019,28 Metalliferous ores and metal scrap ;,744,Imports
2020,28 Metalliferous ores and metal scrap ;,870,Imports
2021,28 Metalliferous ores and metal scrap ;,1425,Imports
2022,28 Metalliferous ores and metal scrap ;,945,Imports
2023,28 Metalliferous ores and metal scrap ;,1019,Imports
2024,28 Metalliferous ores and metal scrap ;,1141,Imports
2014,"29 Crude animal and vegetable materials, nes ;",497,Imports
2015,"29 Crude animal and vegetable materials, nes ;",582,Imports
2016,"29 Crude animal and vegetable materials, nes ;",551,Imports
2017,"29 Crude animal and vegetable materials, nes ;",597,Imports
2018,"29 Crude animal and vegetable materials, nes ;",662,Imports
2019,"29 Crude animal and vegetable materials, nes ;",665,Imports
2020,"29 Crude animal and vegetable materials, nes ;",686,Imports
2021,"29 Crude animal and vegetable materials, nes ;",712,Imports
2022,"29 Crude animal and vegetable materials, nes ;",881,Imports
2023,"29 Crude animal and vegetable materials, nes ;",942,Imports
2024,"29 Crude animal and vegetable materials, nes ;",1007,Imports
2014,"3 Mineral fuels, lubricants and related materials ;",39807,Imports
2015,"3 Mineral fuels, lubricants and related materials ;",28851,Imports
2016,"3 Mineral fuels, lubricants and related materials ;",23604,Imports
2017,"3 Mineral fuels, lubricants and related materials ;",29805,Imports
2018,"3 Mineral fuels, lubricants and related materials ;",40512,Imports
2019,"3 Mineral fuels, lubricants and related materials ;",38794,Imports
2020,"3 Mineral fuels, lubricants and related materials ;",23108,Imports
2021,"3 Mineral fuels, lubricants and related materials ;",34552,Imports
2022,"3 Mineral fuels, lubricants and related materials ;",65806,Imports
2023,"3 Mineral fuels, lubricants and related materials ;",60651,Imports
2024,"3 Mineral fuels, lubricants and related materials ;",56763,Imports
2014,"32 Coal, coke and briquettes ;",56,Imports
2015,"32 Coal, coke and briquettes ;",68,Imports
2016,"32 Coal, coke and briquettes ;",51,Imports
2017,"32 Coal, coke and briquettes ;",139,Imports
2018,"32 Coal, coke and briquettes ;",178,Imports
2019,"32 Coal, coke and briquettes ;",203,Imports
2020,"32 Coal, coke and briquettes ;",148,Imports
2021,"32 Coal, coke and briquettes ;",200,Imports
2022,"32 Coal, coke and briquettes ;",375,Imports
2023,"32 Coal, coke and briquettes ;",306,Imports
2024,"32 Coal, coke and briquettes ;",260,Imports
2014,"33 Petroleum, petroleum products and related materials ;",39423,Imports
2015,"33 Petroleum, petroleum products and related materials ;",28513,Imports
2016,"33 Petroleum, petroleum products and related materials ;",23315,Imports
2017,"33 Petroleum, petroleum products and related materials ;",29365,Imports
2018,"33 Petroleum, petroleum products and related materials ;",39947,Imports
2019,"33 Petroleum, petroleum products and related materials ;",38357,Imports
2020,"33 Petroleum, petroleum products and related materials ;",22720,Imports
2021,"33 Petroleum, petroleum products and related materials ;",34044,Imports
2022,"33 Petroleum, petroleum products and related materials ;",65082,Imports
2023,"33 Petroleum, petroleum products and related materials ;",60057,Imports
2024,"33 Petroleum, petroleum products and related materials ;",56197,Imports
2014,"34 Gas, natural and manufactured ;",326,Imports
2015,"34 Gas, natural and manufactured ;",269,Imports
2016,"34 Gas, natural and manufactured ;",238,Imports
2017,"34 Gas, natural and manufactured ;",303,Imports
2018,"34 Gas, natural and manufactured ;",390,Imports
2019,"34 Gas, natural and manufactured ;",236,Imports
2020,"34 Gas, natural and manufactured ;",242,Imports
2021,"34 Gas, natural and manufactured ;",310,Imports
2022,"34 Gas, natural and manufactured ;",352,Imports
2023,"34 Gas, natural and manufactured ;",293,Imports
2024,"34 Gas, natural and manufactured ;",306,Imports
2014,"4 Animal and vegetable oils, fats and waxes ;",606,Imports
2015,"4 Animal and vegetable oils, fats and waxes ;",655,Imports
2016,"4 Animal and vegetable oils, fats and waxes ;",700,Imports
2017,"4 Animal and vegetable oils, fats and waxes ;",702,Imports
2018,"4 Animal and vegetable oils, fats and waxes ;",756,Imports
2019,"4 Animal and vegetable oils, fats and waxes ;",725,Imports
2020,"4 Animal and vegetable oils, fats and waxes ;",766,Imports
2021,"4 Animal and vegetable oils, fats and waxes ;",831,Imports
2022,"4 Animal and vegetable oils, fats and waxes ;",1094,Imports
2023,"4 Animal and vegetable oils, fats and waxes ;",988,Imports
2024,"4 Animal and vegetable oils, fats and waxes ;",1257,Imports
2014,41 Animal oils and fats ;,59,Imports
2015,41 Animal oils and fats ;,81,Imports
2016,41 Animal oils and fats ;,61,Imports
2017,41 Animal oils and fats ;,56,Imports
2018,41 Animal oils and fats ;,70,Imports
2019,41 Animal oils and fats ;,83,Imports
2020,41 Animal oils and fats ;,85,Imports
2021,41 Animal oils and fats ;,90,Imports
2022,41 Animal oils and fats ;,128,Imports
2023,41 Animal oils and fats ;,161,Imports
2024,41 Animal oils and fats ;,204,Imports
2014,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",503,Imports
2015,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",528,Imports
2016,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",596,Imports
2017,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",591,Imports
2018,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",627,Imports
2019,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",579,Imports
2020,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",627,Imports
2021,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",680,Imports
2022,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",888,Imports
2023,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",750,Imports
2024,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",973,Imports
2014,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",47,Imports
2015,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",46,Imports
2016,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",44,Imports
2017,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",53,Imports
2018,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",54,Imports
2019,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",64,Imports
2020,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",55,Imports
2021,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",61,Imports
2022,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",76,Imports
2023,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",78,Imports
2024,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",78,Imports
2014,"5 Chemicals and related products, nes ;",25159,Imports
2015,"5 Chemicals and related products, nes ;",27192,Imports
2016,"5 Chemicals and related products, nes ;",27705,Imports
2017,"5 Chemicals and related products, nes ;",28054,Imports
2018,"5 Chemicals and related products, nes ;",29837,Imports
2019,"5 Chemicals and related products, nes ;",31024,Imports
2020,"5 Chemicals and related products, nes ;",33291,Imports
2021,"5 Chemicals and related products, nes ;",37021,Imports
2022,"5 Chemicals and related products, nes ;",51393,Imports
2023,"5 Chemicals and related products, nes ;",42831,Imports
2024,"5 Chemicals and related products, nes ;",45025,Imports
2014,51 Organic chemicals ;,2372,Imports
2015,51 Organic chemicals ;,2672,Imports
2016,51 Organic chemicals ;,2410,Imports
2017,51 Organic chemicals ;,2363,Imports
2018,51 Organic chemicals ;,2507,Imports
2019,51 Organic chemicals ;,2260,Imports
2020,51 Organic chemicals ;,2668,Imports
2021,51 Organic chemicals ;,3051,Imports
2022,51 Organic chemicals ;,3755,Imports
2023,51 Organic chemicals ;,2720,Imports
2024,51 Organic chemicals ;,2722,Imports
2014,52 Inorganic chemicals ;,1475,Imports
2015,52 Inorganic chemicals ;,1662,Imports
2016,52 Inorganic chemicals ;,1567,Imports
2017,52 Inorganic chemicals ;,1578,Imports
